epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
161,799.129,0.24628,0.35218,0.08514,0.83627,0.80353,0.85464,0.63079,0.2666,0.39341,0.18289,0.0013664,0.0013664,0.0013664
162,804.207,0.26785,0.35508,0.08527,0.84623,0.766,0.84853,0.63902,0.26167,0.40844,0.17588,0.00136244,0.00136244,0.00136244
163,809.004,0.22452,0.33359,0.09845,0.84434,0.7638,0.85972,0.63794,0.26582,0.40162,0.18811,0.00135848,0.00135848,0.00135848
164,813.969,0.24243,0.33101,0.09649,0.84675,0.76841,0.85566,0.6334,0.27944,0.40897,0.19238,0.00135452,0.00135452,0.00135452
165,818.698,0.255,0.34308,0.09487,0.82196,0.75717,0.83852,0.63716,0.27651,0.40729,0.2029,0.00135056,0.00135056,0.00135056
166,823.519,0.22735,0.32696,0.08582,0.86129,0.77042,0.84465,0.6293,0.28991,0.38512,0.21425,0.0013466,0.0013466,0.0013466
167,828.299,0.25727,0.33569,0.09403,0.84951,0.78366,0.8657,0.63755,0.28108,0.37765,0.19848,0.00134264,0.00134264,0.00134264
168,833.267,0.23602,0.31924,0.08743,0.81939,0.81236,0.86098,0.64887,0.27606,0.37925,0.19713,0.00133868,0.00133868,0.00133868
169,838.505,0.21376,0.3219,0.0882,0.85637,0.81457,0.86679,0.65666,0.27362,0.35911,0.19573,0.00133472,0.00133472,0.00133472
170,843.771,0.20803,0.31398,0.07857,0.81704,0.80574,0.85411,0.64193,0.2759,0.37441,0.18783,0.00133076,0.00133076,0.00133076
171,848.543,0.23965,0.31595,0.09163,0.83995,0.77619,0.84975,0.62921,0.29109,0.41457,0.20563,0.0013268,0.0013268,0.0013268
172,853.505,0.21214,0.31644,0.08335,0.78232,0.68212,0.72453,0.53357,nan,nan,nan,0.00132284,0.00132284,0.00132284
173,858.275,0.22244,0.32454,0.09044,0.82295,0.70199,0.77403,0.57134,nan,nan,nan,0.00131888,0.00131888,0.00131888
174,863.044,0.24084,0.32133,0.0895,0.85767,0.74495,0.84863,0.61936,0.28304,0.43755,0.20267,0.00131492,0.00131492,0.00131492
175,867.816,0.26493,0.33796,0.09566,0.78966,0.80353,0.84345,0.61852,0.28931,0.44415,0.20494,0.00131096,0.00131096,0.00131096
176,872.759,0.22781,0.34053,0.08457,0.8278,0.75497,0.83767,0.62707,0.30126,0.3884,0.21236,0.001307,0.001307,0.001307
177,877.506,0.25859,0.32292,0.10037,0.82493,0.77704,0.84734,0.64227,0.27879,0.42053,0.19701,0.00130304,0.00130304,0.00130304
178,882.281,0.26765,0.35614,0.10469,0.82129,0.79691,0.85628,0.64443,0.27304,0.408,0.19326,0.00129908,0.00129908,0.00129908
179,887.293,0.2449,0.34009,0.08735,0.8723,0.75938,0.84064,0.63494,0.2874,0.40714,0.19364,0.00129512,0.00129512,0.00129512
